X:496,O:376,T:128
X:527,O:359,T:114
X:502,O:371,T:127
X:500,O:393,T:107
X:509,O:371,T:120
X:499,O:373,T:128
X:495,O:370,T:135
X:512,O:379,T:109
X:502,O:377,T:121
X:504,O:378,T:118
X:509,O:374,T:117
X:514,O:373,T:113
X:485,O:393,T:122
X:508,O:378,T:114
X:538,O:353,T:109
X:521,O:361,T:118
X:514,O:367,T:119
X:511,O:367,T:122
X:479,O:388,T:133
X:521,O:345,T:134
X:526,O:353,T:121
X:504,O:371,T:125
X:499,O:398,T:103
X:538,O:346,T:116
X:512,O:371,T:117
X:515,O:366,T:119
X:515,O:362,T:123
X:519,O:358,T:123
X:506,O:361,T:133
X:502,O:364,T:134
X:494,O:380,T:126
X:525,O:362,T:113
X:528,O:348,T:124
X:518,O:364,T:118
X:510,O:381,T:109
X:509,O:370,T:121
X:513,O:378,T:109
X:502,O:395,T:103
X:501,O:376,T:123
X:486,O:405,T:109
X:511,O:361,T:128
X:508,O:376,T:116
X:519,O:359,T:122
X:485,O:391,T:124
X:522,O:352,T:126
X:514,O:376,T:110
X:506,O:377,T:117
X:511,O:381,T:108
X:506,O:386,T:108
X:511,O:372,T:117
X:500,O:381,T:119
X:509,O:374,T:117
X:495,O:379,T:126
X:498,O:384,T:118
X:525,O:358,T:117
X:479,O:401,T:120
X:524,O:380,T:96
X:529,O:351,T:120
X:507,O:375,T:118
X:540,O:339,T:121
X:512,O:366,T:122
X:560,O:331,T:109
X:499,O:375,T:126
X:509,O:367,T:124
X:516,O:379,T:105
X:519,O:355,T:126
X:468,O:406,T:126
X:491,O:397,T:112
X:506,O:363,T:131
X:494,O:378,T:128
X:495,O:382,T:123
X:513,O:363,T:124
X:524,O:344,T:132
X:492,O:392,T:116
X:523,O:357,T:120
X:531,O:350,T:119
X:502,O:377,T:121
X:526,O:362,T:112
X:508,O:356,T:136
X:527,O:358,T:115
X:485,O:371,T:144
X:499,O:386,T:115
X:492,O:378,T:130
X:498,O:394,T:108
X:528,O:368,T:104
X:491,O:385,T:124
X:537,O:344,T:119
X:522,O:361,T:117
X:491,O:382,T:127
X:502,O:379,T:119
X:507,O:359,T:134
X:511,O:372,T:117
X:510,O:368,T:122
X:509,O:368,T:123
X:490,O:389,T:121
X:502,O:376,T:122
X:511,O:367,T:122
X:499,O:396,T:105
X:520,O:357,T:123
X:493,O:390,T:117
X:515,O:375,T:110
X:509,O:370,T:121
X:492,O:404,T:104
X:517,O:353,T:130
X:495,O:396,T:109
X:536,O:349,T:115
X:498,O:391,T:111
X:480,O:382,T:138
X:466,O:409,T:125
X:537,O:360,T:103
X:528,O:363,T:109
X:514,O:366,T:120
X:536,O:352,T:112
X:509,O:354,T:137
X:527,O:355,T:118
X:507,O:376,T:117
X:492,O:375,T:133
X:474,O:390,T:136
X:521,O:365,T:114
X:487,O:402,T:111
X:523,O:368,T:109
X:502,O:365,T:133
X:510,O:369,T:121
X:491,O:405,T:104
X:500,O:386,T:114
X:528,O:354,T:118
X:494,O:391,T:115
X:482,O:391,T:127
X:470,O:404,T:126
X:465,O:396,T:139
X:487,O:382,T:131
X:503,O:392,T:105
X:503,O:379,T:118
X:507,O:364,T:129
X:487,O:374,T:139
X:493,O:378,T:129
X:499,O:377,T:124
X:514,O:369,T:117
X:469,O:395,T:136
X:490,O:392,T:118
X:509,O:379,T:112
X:502,O:374,T:124
X:488,O:382,T:130
X:545,O:335,T:120
X:526,O:374,T:100
X:484,O:393,T:123
X:521,O:367,T:112
X:513,O:359,T:128
X:509,O:374,T:117
X:498,O:386,T:116
X:521,O:369,T:110
X:502,O:389,T:109
X:490,O:385,T:125
X:501,O:352,T:147
X:520,O:371,T:109
X:511,O:350,T:139
X:507,O:383,T:110
X:506,O:364,T:130
X:481,O:383,T:136
X:504,O:377,T:119
X:493,O:394,T:113
X:495,O:391,T:114
X:497,O:390,T:113
X:491,O:404,T:105
X:486,O:382,T:132
X:506,O:368,T:126
X:497,O:382,T:121
X:528,O:342,T:130
X:492,O:396,T:112
X:523,O:362,T:115
X:535,O:357,T:108
X:505,O:380,T:115
X:494,O:389,T:117
X:474,O:392,T:134
X:506,O:388,T:106
X:504,O:373,T:123
X:497,O:378,T:125
X:521,O:361,T:118
X:492,O:387,T:121
X:521,O:362,T:117
X:514,O:360,T:126
X:505,O:395,T:100
X:510,O:371,T:119
X:479,O:407,T:114
X:509,O:373,T:118
X:515,O:362,T:123
X:526,O:367,T:107
X:501,O:388,T:111
X:522,O:349,T:129
X:521,O:361,T:118
X:507,O:378,T:115
X:508,O:383,T:109
X:518,O:353,T:129
X:493,O:380,T:127
X:481,O:386,T:133
X:501,O:372,T:127
X:501,O:376,T:123
X:490,O:381,T:129
X:525,O:355,T:120
X:470,O:394,T:136
X:503,O:388,T:109
X:504,O:386,T:110
X:516,O:364,T:120
X:484,O:401,T:115
X:494,O:390,T:116
X:485,O:397,T:118
X:492,O:396,T:112
X:477,O:385,T:138
X:503,O:388,T:109
X:506,O:382,T:112
X:503,O:389,T:108
X:513,O:366,T:121
X:498,O:394,T:108
X:486,O:390,T:124
X:485,O:394,T:121
X:497,O:384,T:119
X:535,O:369,T:96
X:549,O:350,T:101
X:515,O:364,T:121
X:498,O:374,T:128
X:493,O:379,T:128
X:519,O:358,T:123
X:536,O:368,T:96
X:534,O:348,T:118
X:493,O:396,T:111
X:506,O:359,T:135
X:484,O:387,T:129
X:519,O:352,T:129
X:496,O:362,T:142
X:520,O:365,T:115
X:533,O:349,T:118
X:502,O:385,T:113
X:533,O:351,T:116
X:501,O:377,T:122
X:520,O:369,T:111
X:505,O:366,T:129
X:486,O:392,T:122
X:505,O:375,T:120
X:500,O:381,T:119
X:533,O:350,T:117
X:485,O:385,T:130
X:492,O:376,T:132
X:484,O:396,T:120
X:511,O:377,T:112
X:484,O:377,T:139
X:499,O:396,T:105
X:505,O:362,T:133
X:534,O:350,T:116
X:514,O:374,T:112
X:525,O:370,T:105
X:510,O:383,T:107
X:499,O:394,T:107
X:496,O:376,T:128
X:495,O:401,T:104
X:463,O:407,T:130
X:511,O:374,T:115
X:508,O:385,T:107
X:527,O:352,T:121
X:542,O:336,T:122
X:497,O:377,T:126
X:501,O:382,T:117
X:525,O:357,T:118
X:502,O:375,T:123
X:523,O:355,T:122
X:486,O:384,T:130
X:530,O:359,T:111
X:529,O:347,T:124
X:499,O:382,T:119
X:509,O:380,T:111
X:512,O:359,T:129
X:492,O:380,T:128
X:479,O:393,T:128
X:500,O:377,T:123
X:499,O:379,T:122
X:486,O:397,T:117
X:527,O:355,T:118
X:514,O:363,T:123
X:508,O:373,T:119
X:469,O:425,T:106
X:494,O:393,T:113
X:506,O:385,T:109
X:537,O:362,T:101
X:491,O:394,T:115
X:475,O:383,T:142
X:501,O:356,T:143
X:521,O:374,T:105
X:536,O:342,T:122
X:503,O:380,T:117
X:480,O:396,T:124
X:526,O:360,T:114
X:507,O:369,T:124
X:520,O:368,T:112
X:514,O:362,T:124
X:519,O:369,T:112
X:519,O:355,T:126
X:508,O:361,T:131
X:490,O:384,T:126
X:499,O:381,T:120
X:500,O:385,T:115
X:509,O:368,T:123
X:518,O:361,T:121
X:480,O:385,T:135
X:503,O:380,T:117
X:533,O:356,T:111
X:481,O:404,T:115
